id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60
1422497472099065528,695859810,8.0,8.0,41.13454856912311,-8.611689738275167,5.0,3.0,3.0,1.0,1125,1.0,,3.0,1125.0,4.1,66.8,,21,43
1422498126815037772,695859810,8.0,8.0,41.1348085988401,-8.61086795093515,2.0,1.0,1.0,1.0,1125,1.0,2.0,3.0,1125.0,1.5,33.9,,8,38
1422498603549448612,695859810,8.0,8.0,41.13605,-8.61309,6.0,,4.0,1.0,1125,1.0,2.0,2.0,1125.0,1.5,161.4,,15,36
1422517180667358073,124407258,,,41.15375386685504,-8.59583973936111,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,20,50
1422531808769918766,681179716,2.0,2.0,41.14438665600125,-8.599404051842598,2.0,1.0,1.0,2.0,270,2.0,2.0,270.0,270.0,2.0,270.0,,7,12
1422592946453830382,263536531,4.0,4.0,41.153888000382224,-8.62109580440258,4.0,1.0,2.0,2.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,0,7
1422686442706973362,506314454,1.0,1.0,41.14392698819412,-8.612470443467938,4.0,1.0,2.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,8,18
1423126278354390974,7291668,2.0,2.0,41.1602092,-8.6080908,2.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,9,17
1423805720714631561,391837499,26.0,35.0,41.1541073,-8.602390999999999,2.0,0.0,1.0,2.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,14,21
1423840236235060061,532372067,1.0,1.0,,,6.0,3.0,3.0,2.0,365,1.0,2.0,365.0,365.0,2.0,365.0,,2,5
1423918574521035505,139110639,,,41.14408528594156,-8.60599962365511,,,5.0,2.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,24,39
1424052311617398731,679595968,8.0,8.0,41.1386981,-8.6225753,2.0,0.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,7,36
1424071818105173858,196894742,3.0,3.0,41.1496776,-8.609419299999999,2.0,1.0,1.0,2.0,365,1.0,2.0,365.0,365.0,2.0,365.0,,10,18
1424353454347594754,183804073,4.0,6.0,41.154601879264575,-8.63071821587813,1.0,1.0,4.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,20,50
1424367448488794429,183804073,4.0,6.0,41.14588661781367,-8.603166878591619,2.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,15,28
1424480556042958976,527818145,1.0,1.0,41.137798274231066,-8.61532393589553,4.0,1.0,2.0,2.0,90,2.0,2.0,90.0,90.0,2.0,90.0,,23,44
1424514521765663911,12730028,,,41.15749846413042,-8.62118441190168,2.0,1.0,1.0,1.0,365,1.0,2.0,365.0,365.0,2.0,365.0,,19,26
1424547532399946338,75279449,16.0,16.0,41.1442262,-8.6209768,6.0,2.0,4.0,2.0,365,2.0,3.0,365.0,365.0,2.9,365.0,,14,39
1424596638936425513,124407258,,,41.15436840828256,-8.594419321018433,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,5,5
1424602193884011611,124407258,,,41.15255191964376,-8.594616408151364,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,5,35
1424605348452797520,124407258,,,41.15235550391617,-8.594234136839008,1.0,1.0,1.0,,90,,,90.0,90.0,,90.0,,11,41
1424610756313764778,696377676,2.0,2.0,41.16089387790301,-8.609487699075538,4.0,1.0,2.0,,365,,,365.0,365.0,4.9,365.0,,15,34
1424615088214090535,71810730,25.0,27.0,,-8.6406073,4.0,1.0,2.0,2.0,1125,1.0,2.0,180.0,180.0,2.0,180.0,,12,20
